日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[kwh](小时),风机:风机电能[kwh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 07/27  02:00:00,26.8555,27.89090607,73.20296678,411.7704529,1.118088628,31.34831722,0,0,0,0
 07/27  03:00:00,26.622625,27.74060377,73.84773252,411.770166,1.082062124,29.70098519,0,0,0,0
 07/27  04:00:00,26.415625,27.60689937,74.4267926,411.7700608,1.046915168,28.13800866,0,0,0,0
 07/27  05:00:00,26.25175,27.48389234,74.96400658,411.7700223,1.011994927,26.62903091,0,0,0,0
 07/27  06:00:00,26.28625,27.42126106,75.2391077,411.7700082,0.98436444,25.46645017,0,0,0,0
 07/27  07:00:00,26.639875,27.48655024,74.95247271,411.770003,0.979887951,25.28123437,0,0,0,0
 07/27  08:00:00,27.554125,29.71608079,65.9215929,411.7700007,1.22414884,36.76469793,5.415881507,0,0,0
 07/27  09:00:00,28.813375,30.71240892,62.20611028,411.7700001,1.458095814,48.63282678,5.415881507,0,0,0
 07/27  10:00:00,30.038125,31.57764332,63.15887129,583.3118966,1.607555777,56.7491454,5.415881507,0,0,0
 07/27  11:00:00,31.124875,31.95742208,62.69177146,615.953379,1.715653778,62.58649551,5.415881507,0,0,0
 07/27  12:00:00,31.94425,32.28485074,61.53192881,610.749824,1.772237402,65.57503022,5.415881507,0,0,0
 07/27  13:00:00,32.548,32.46211683,59.96522788,566.8963917,1.803623351,67.20688653,5.415881507,0,0,0
 07/27  14:00:00,32.970625,32.67161999,59.32317361,567.3493001,1.840154624,69.07258614,5.415881507,0,0,0
 07/27  15:00:00,33.1,32.77401698,59.22194592,575.8524633,1.876229792,70.88254684,5.415881507,0,0,0
 07/27  16:00:00,32.84125,32.80498432,60.27449948,623.7736221,1.908127122,72.44781499,5.415881507,0,0,0
 07/27  17:00:00,32.341,32.64164899,60.4421435,608.2726108,1.904904803,72.29142847,5.415881507,0,0,0
 07/27  18:00:00,31.70275,32.35350465,59.54182627,531.6375,1.857559701,69.94571226,5.415881507,0,0,0
 07/27  19:00:00,30.797125,31.96359546,59.1474826,462.1826125,1.788137304,66.39883453,5.415881507,0,0,0
 07/27  20:00:00,29.934625,31.58014875,59.47771197,422.9341291,0.664718696,14.29090689,5.415881507,0,0,0
 07/27  21:00:00,29.261875,31.29280121,60.21185034,413.0385239,0.612248405,12.86535824,5.415881507,0,0,0
 07/27  22:00:00,28.640875,31.03208378,61.0837194,411.9141228,0.573316099,11.88848054,5.415881507,0,0,0
 07/27  23:00:00,28.106125,30.79418114,61.91444617,411.786372,0.536017528,11.0137736,5.415881507,0,0,0
 07/27  24:00:00,27.623125,29.01199447,68.6338347,411.7736135,0.345643334,7.781783066,0,0,0,0
 01/01  01:00:00,2.9625,10.67059768,51.98686796,410.8318023,-1.356416097,43.20389767,0,0,0,0
 01/01  02:00:00,2.8125,10.59249238,54.60754546,410.8306449,-1.359745403,43.37912598,0,0,0,0
 01/01  03:00:00,2.5125,10.47467387,55.51589304,410.8302306,-1.373468933,44.10333618,0,0,0,0
 01/01  04:00:00,2.2125,10.35729241,55.37746569,410.8300824,-1.391002841,45.03308467,0,0,0,0
 01/01  05:00:00,1.975,10.25467274,54.88919003,410.8300294,-1.408699867,45.97616878,0,0,0,0
 01/01  06:00:00,1.7125,10.15260018,54.21538838,410.8300105,-1.425270354,46.86324387,0,0,0,0
 01/01  07:00:00,1.6,10.07960888,53.44113981,410.8300037,-1.441434053,47.73170251,0,0,0,0
 01/01  08:00:00,1.6625,11.32445604,48.6256656,410.8300009,-1.354109712,43.11519334,5.415881507,0,0,0
 01/01  09:00:00,1.8875,11.693573,47.09682647,410.8300001,-1.278043702,39.1447042,5.415881507,0,0,0
 01/01  10:00:00,2.1875,13.4371171,44.13649307,578.6373664,-1.136450138,32.32298864,5.415881507,0,0,0
 01/01  11:00:00,2.4875,13.62655418,45.00838075,622.3891469,-1.042361504,27.93881293,5.415881507,0,0,0
 01/01  12:00:00,2.725,13.72324127,44.77305731,617.3795023,-1.037937965,27.74456054,5.415881507,0,0,0
 01/01  13:00:00,2.925,13.41798237,44.81570346,572.7099264,-1.056116513,28.5460322,5.415881507,0,0,0
 01/01  14:00:00,3.0625,13.58043055,43.70818379,572.3972369,-1.055829505,28.52989149,5.415881507,0,0,0
 01/01  15:00:00,3.1625,13.69534087,43.0474998,581.1332632,-1.039388824,27.8074437,5.415881507,0,0,0
 01/01  16:00:00,3.2,14.15330207,42.20395365,628.5601127,-0.9988633,26.08072355,5.415881507,0,0,0
 01/01  17:00:00,3.2,13.96098895,42.51774819,615.2115335,-0.994179758,25.8781631,5.415881507,0,0,0
 01/01  18:00:00,3.2,13.33292156,43.08981188,539.1024447,-1.052408276,28.39291583,5.415881507,0,0,0
 01/01  19:00:00,3.1375,12.76012225,43.58194771,466.295042,-1.121264197,31.50251363,5.415881507,0,0,0
 01/01  20:00:00,3.1,12.4270772,43.95278499,423.2424389,-2.134657139,82.45258618,5.415881507,0,0,0
 01/01  21:00:00,3.0375,12.34811505,44.20539146,412.3715985,-2.150682832,83.07762242,5.415881507,0,0,0
 01/01  22:00:00,3,12.31530682,44.55725192,411.021486,-2.155704363,83.27011965,5.415881507,0,0,0
 01/01  23:00:00,2.9375,12.28768755,44.99296212,410.8537856,-2.157748159,83.34806272,5.415881507,0,0,0
 01/01  24:00:00,2.9,10.90379453,49.6620193,410.8353366,-2.262850603,86.95953177,0,0,0,0
 01/02  01:00:00,2.8375,10.54232261,51.22764584,410.8318086,-1.380353805,44.46775755,0,0,0,0
 01/02  02:00:00,2.7375,10.46635822,51.93257305,410.830647,-1.39218998,45.09607249,0,0,0,0
 01/02  03:00:00,2.6375,10.39834808,52.84244322,410.8302314,-1.401655048,45.60007424,0,0,0,0
 01/02  04:00:00,2.5375,10.33675551,53.8109412,410.8300828,-1.409446813,46.01596659,0,0,0,0
 01/02  05:00:00,2.375,10.26264703,54.89465646,410.8300296,-1.417840933,46.4649732,0,0,0,0
 01/02  06:00:00,2.2375,10.19124374,56.01100205,410.8300106,-1.426837109,46.94716018,0,0,0,0
 01/02  07:00:00,2.075,10.1203891,56.8355795,410.8300038,-1.434921807,47.38138846,0,0,0,0
 01/02  08:00:00,2,11.36238467,52.32366704,410.8300009,-1.346900941,42.7389857,5.415881507,0,0,0
 01/02  09:00:00,2.25,11.74471826,50.75375555,410.8300001,-1.269383162,38.70459152,5.415881507,0,0,0
 01/02  10:00:00,2.775,13.56760007,46.87368532,578.5866017,-1.121687297,31.64534459,5.415881507,0,0,0
 01/02  11:00:00,3.3125,13.86229578,46.4782756,622.2870571,-1.016960778,26.84050169,5.415881507,0,0,0
 01/02  12:00:00,3.875,14.08584467,44.14730312,617.3098633,-1.004119849,26.29488174,5.415881507,0,0,0
 01/02  13:00:00,4.6,13.97807844,41.78441817,572.7081951,-1.004690527,26.31974378,5.415881507,0,0,0
 01/02  14:00:00,5.4625,14.34223093,38.66318446,572.4944365,-0.982970145,25.41175735,5.415881507,0,0,0
 01/02  15:00:00,6.4875,14.6790724,36.71724139,581.3905876,-0.944862554,23.85899546,5.415881507,0,0,0
 01/02  16:00:00,7.4625,15.33750236,35.91872782,629.0590463,-0.877926129,21.28662256,5.415881507,0,0,0
 01/02  17:00:00,7.675,15.24704532,36.51786973,615.8215648,-0.854221797,20.40112086,5.415881507,0,0,0
 01/02  18:00:00,7.2875,14.6228522,37.1728498,539.4966517,-0.907894001,22.42305153,5.415881507,0,0,0
 01/02  19:00:00,6.6625,14.01692279,37.72938137,466.4487772,-0.982352872,25.39333637,5.415881507,0,0,0
 01/02  20:00:00,5.9625,13.61475107,38.18341694,423.2751518,-1.999251356,76.72477282,5.415881507,0,0,0
 01/02  21:00:00,5.3875,13.42557791,38.92020697,412.3754909,-2.023239415,77.80048771,5.415881507,0,0,0
 01/02  22:00:00,5.0125,13.2600523,39.92074296,411.0218279,-2.039047461,78.49462781,5.415881507,0,0,0
 01/02  23:00:00,4.8375,13.1779713,40.69000517,410.8538051,-2.047049462,78.84206148,5.415881507,0,0,0
 01/02  24:00:00,4.8,11.67970989,45.58819468,410.8353619,-2.156860092,83.18488067,0,0,0,0
 01/03  01:00:00,4.8,11.29288916,47.38727213,410.8318215,-1.279351392,39.21117738,0,0,0,0
 01/03  02:00:00,4.675,11.2305123,48.07463054,410.8306546,-1.286472304,39.57468443,0,0,0,0
 01/03  03:00:00,4.35,11.12606068,48.73146414,410.8302351,-1.29750372,40.14026196,0,0,0,0
 01/03  04:00:00,3.7625,10.95295742,49.46787416,410.8300843,-1.316045599,41.09716383,0,0,0,0
 01/03  05:00:00,2.9375,10.71222838,49.92864344,410.8300302,-1.34451792,42.58032621,0,0,0,0
 01/03  06:00:00,2.1,10.46016108,50.05579611,410.8300108,-1.377382737,44.31091625,0,0,0,0
 01/03  07:00:00,1.3625,10.23230189,49.90704593,410.8300038,-1.408709325,45.9770175,0,0,0,0
 01/03  08:00:00,0.975,11.31258713,45.61731775,410.8300009,-1.340805308,42.41438995,5.415881507,0,0,0
 01/03  09:00:00,1.525,11.69691213,44.50613972,410.8300001,-1.272742578,38.87595285,5.415881507,0,0,0
 01/03  10:00:00,2.9,13.76854183,42.25833959,575.2247891,-1.099195771,30.64581234,5.415881507,0,0,0
 01/03  11:00:00,4.5625,14.43668582,43.87794135,622.1854638,-0.942821496,23.77647015,5.415881507,0,0,0
 01/03  12:00:00,6.2625,14.92628579,43.78887262,617.351733,-0.885749674,21.57238721,5.415881507,0,0,0
 01/03  13:00:00,7.9,15.02823878,42.93510485,572.865436,-0.854482514,20.40998981,5.415881507,0,0,0
 01/03  14:00:00,9.375,15.60891854,40.36516484,572.6896583,-0.798093115,18.44010571,5.415881507,0,0,0
 01/03  15:00:00,10.7125,16.05837463,38.12011419,581.6089459,-0.740884833,16.55924178,5.415881507,0,0,0
 01/03  16:00:00,11.6375,16.64602301,36.73315748,629.3512203,-0.690057426,15.02298818,5.415881507,0,0,0
 01/03  17:00:00,11.7125,16.59994726,36.08007455,616.0974032,-0.661625051,14.19741715,5.415881507,0,0,0
 01/03  18:00:00,11.1,15.89402522,35.97089432,539.7015986,-0.728008127,16.17720609,5.415881507,0,0,0
 01/03  19:00:00,10.175,15.2231462,36.10391097,466.5492565,-0.808075203,18.7823754,5.415881507,0,0,0
 01/03  20:00:00,9.05,14.7091124,36.69073397,423.3060726,-1.833739227,68.74599427,5.415881507,0,0,0
 01/03  21:00:00,7.9125,14.40161465,37.59437807,412.3808429,-1.86960509,70.55327514,5.415881507,0,0,0
 01/03  22:00:00,7,14.15268985,38.74273971,411.0224236,-1.893670065,71.743156,5.415881507,0,0,0
 01/03  23:00:00,6.2625,13.95892138,39.92304404,410.8538406,-1.911168063,72.59668665,5.415881507,0,0,0
 01/03  24:00:00,5.6875,12.38160541,45.05308,410.8353653,-2.029486173,77.9632693,0,0,0,0
 01/04  01:00:00,5.25,11.88396736,47.80727088,410.831823,-1.159733993,33.30404787,0,0,0,0
 01/04  02:00:00,4.9125,11.75323847,49.49132897,410.8306546,-1.174135809,33.9934347,0,0,0,0
 01/04  03:00:00,4.55,11.6291065,51.31292012,410.8302349,-1.185788727,34.55608294,0,0,0,0
 01/04  04:00:00,4.15,11.49341014,53.16378544,410.8300842,-1.199133709,35.20533853,0,0,0,0
 01/04  05:00:00,3.6875,11.34573144,54.68440712,410.8300302,-1.214108771,35.94010704,0,0,0,0
 01/04  06:00:00,3.25,11.19829967,55.66858015,410.8300108,-1.231879889,36.82009963,0,0,0,0
 01/04  07:00:00,2.9125,11.07298072,56.00059218,410.8300039,-1.249683299,37.71014562,0,0,0,0
 01/04  08:00:00,2.7375,12.26742271,51.25047788,410.8300009,-1.168982214,33.79870459,5.415881507,0,0,0
 01/04  09:00:00,3.075,12.65509991,49.4092829,410.8300001,-1.095487176,30.30864086,5.415881507,0,0,0
 01/04  10:00:00,4.1125,14.56932125,45.89039812,577.3182735,-0.939436664,23.81567051,5.415881507,0,0,0
 01/04  11:00:00,5.5375,15.02289863,46.1905986,622.3513781,-0.816871243,19.07390264,5.415881507,0,0,0
 01/04  12:00:00,7.225,15.4854633,44.71094762,617.5676636,-0.774323931,17.64044046,5.415881507,0,0,0
 01/04  13:00:00,9.025,15.65222406,42.87398106,573.0953526,-0.738197585,16.47351612,5.415881507,0,0,0
 01/04  14:00:00,10.6375,16.25512939,40.08396491,572.9217405,-0.682145156,14.79006397,5.415881507,0,0,0
 01/04  15:00:00,12.0125,16.82601507,38.11426605,581.8262395,-0.618959425,13.04491304,5.415881507,0,0,0
 01/04  16:00:00,12.875,17.50266646,38.13710283,629.4879184,-0.548889889,11.31768226,5.415881507,0,0,0
 01/04  17:00:00,12.7875,17.33033674,40.54147582,616.207512,-0.529353946,10.86382775,5.415881507,0,0,0
 01/04  18:00:00,11.85,16.53075812,43.58673725,539.7295668,-0.582227244,12.12457959,5.415881507,0,0,0
 01/04  19:00:00,10.275,15.58510657,46.45831525,466.5374297,-0.679692077,14.73272418,5.415881507,0,0,0
 01/04  20:00:00,8.475,14.85069339,48.21313623,423.2898407,-1.728744807,63.28063985,5.415881507,0,0,0
 01/04  21:00:00,6.675,14.34457036,48.87959745,412.3753759,-1.789400556,66.46866585,5.415881507,0,0,0
 01/04  22:00:00,5.125,13.94714053,48.6466153,411.0211236,-1.839089407,69.01887542,5.415881507,0,0,0
 01/04  23:00:00,3.975,13.59828989,48.0367312,410.8535862,-1.882010038,71.16715466,5.415881507,0,0,0
 01/04  24:00:00,3.1625,12.01797085,51.69441112,410.8352643,-2.018390012,77.47770665,0,0,0,0
 01/05  01:00:00,2.525,11.50802189,51.83344439,410.8317762,-1.158331274,33.23846844,0,0,0,0
 01/05  02:00:00,1.9875,11.30946228,51.01097768,410.8306319,-1.19103302,34.81136319,0,0,0,0
 01/05  03:00:00,1.4875,11.13346974,50.12889369,410.8302245,-1.21899812,36.18185035,0,0,0,0
 01/05  04:00:00,0.925,10.94450326,49.1445998,410.8300797,-1.248262811,37.63954624,0,0,0,0
 01/05  05:00:00,0.325,10.740814,48.20723119,410.8300282,-1.280278563,39.25932208,0,0,0,0
 01/05  06:00:00,-0.2125,10.54945401,47.05516001,410.83001,-1.311835164,40.87956661,0,0,0,0
 01/05  07:00:00,-0.65,10.3809037,45.55449207,410.8300035,-1.342026931,42.44978653,0,0,0,0
 01/05  08:00:00,-0.8625,11.35263765,40.79192643,410.8300008,-1.284044686,39.47676441,5.415881507,0,0,0
 01/05  09:00:00,0.35,11.84088258,39.41193667,410.8300001,-1.218647373,36.16762856,5.415881507,0,0,0
 01/05  10:00:00,2.85,14.15728994,38.36793735,575.2177986,-1.016801421,27.0493008,5.415881507,0,0,0
 01/05  11:00:00,5.4,15.07567012,40.80989619,622.2436427,-0.824778905,19.35323801,5.415881507,0,0,0
 01/05  12:00:00,7.675,15.69736322,41.22623078,617.4980262,-0.75285206,16.94647055,5.415881507,0,0,0
 01/05  13:00:00,9.5625,15.84355238,40.33204544,573.0514853,-0.717871329,15.84429319,5.415881507,0,0,0
 01/05  14:00:00,11.075,16.35650389,37.77080734,572.902865,-0.680870789,14.74952363,5.415881507,0,0,0
 01/05  15:00:00,12.1625,16.86951167,35.96313063,581.77953,-0.623164074,13.15619153,5.415881507,0,0,0
 01/05  16:00:00,12.75,17.61456324,35.85252666,629.3169968,-0.527185049,10.83438817,5.415881507,0,0,0
 01/05  17:00:00,12.5875,17.37584256,38.75247824,615.9851144,-0.51556217,10.56311619,5.415881507,0,0,0
 01/05  18:00:00,11.65,16.49633419,42.57967988,539.5888949,-0.58407529,12.17295842,5.415881507,0,0,0
 01/05  19:00:00,10.2,15.60677589,46.14272413,466.465097,-0.673525422,14.55001881,5.415881507,0,0,0
 01/05  20:00:00,8.475,14.91111204,48.6983506,423.2621543,-1.71276671,62.43074787,5.415881507,0,0,0
 01/05  21:00:00,6.7375,14.42148206,49.8246323,412.3689253,-1.770503024,65.48434134,5.415881507,0,0,0
 01/05  22:00:00,5.2875,14.04923123,49.8063431,411.0199662,-1.816635286,67.87465337,5.415881507,0,0,0
 01/05  23:00:00,4.175,13.73590554,49.26537858,410.8534001,-1.856159496,69.88006799,5.415881507,0,0,0
 01/05  24:00:00,3.3,12.13983937,52.90680929,410.8352174,-1.992854676,76.33031249,0,0,0,0
 01/06  01:00:00,2.6875,11.63081172,52.55329611,410.8317605,-1.135597897,32.16397863,0,0,0,0
 01/06  02:00:00,2.1875,11.44628183,51.28930505,410.8306264,-1.167069066,33.65519492,0,0,0,0
 01/06  03:00:00,1.6875,11.26605004,50.21306114,410.8302226,-1.196956885,35.09985049,0,0,0,0
 01/06  04:00:00,1.1875,11.08784626,49.38268306,410.830079,-1.225689165,36.51307364,0,0,0,0
 01/06  05:00:00,0.625,10.89649128,48.73450952,410.830028,-1.254766545,37.96645699,0,0,0,0
 01/06  06:00:00,0.15,10.71830637,48.1908428,410.8300099,-1.283978872,39.44781267,0,0,0,0
 01/06  07:00:00,-0.25,10.56326197,47.65470168,410.8300035,-1.309173926,40.74179018,0,0,0,0
 01/06  08:00:00,-0.4625,11.55238905,43.63165657,410.8300008,-1.246897999,37.60094074,5.415881507,0,0,0
 01/06  09:00:00,-0.1875,11.80296458,42.47111336,410.8300001,-1.195234805,35.01510359,5.415881507,0,0,0
 01/06  10:00:00,0.8125,13.61299938,40.40592885,578.2166157,-1.049108283,28.37833763,5.415881507,0,0,0
 01/06  11:00:00,2.55,14.25501508,41.63296215,621.5861838,-0.914181116,22.65196122,5.415881507,0,0,0
 01/06  12:00:00,4.675,14.93981032,42.0079007,616.7431817,-0.83833406,19.83971869,5.415881507,0,0,0
 01/06  13:00:00,6.9375,15.16027991,43.10606307,572.4013707,-0.791733362,18.21500556,5.415881507,0,0,0
 01/06  14:00:00,9.05,15.83246433,43.39529997,572.3665284,-0.723041587,16.01763772,5.415881507,0,0,0
 01/06  15:00:00,10.8,16.41749552,43.80832546,581.2971788,-0.636682498,13.51881371,5.415881507,0,0,0
 01/06  16:00:00,11.8375,17.18678415,44.00741984,628.8754711,-0.544805453,11.23337813,5.415881507,0,0,0
 01/06  17:00:00,11.85,17.09497426,45.13609148,615.5178292,-0.513092595,10.50686142,5.415881507,0,0,0
 01/06  18:00:00,11.1375,16.3282596,46.48788365,539.245168,-0.580182617,12.07759025,5.415881507,0,0,0
 01/06  19:00:00,9.9875,15.54468511,47.43492451,466.2991726,-0.674347499,14.57638773,5.415881507,0,0,0
 01/06  20:00:00,8.5625,14.92780657,47.59219188,423.2129432,-1.717377825,62.67662748,5.415881507,0,0,0
 01/06  21:00:00,7.1875,14.52742283,47.41802799,412.3597949,-1.771111937,65.51675888,5.415881507,0,0,0
 01/06  22:00:00,6.075,14.23580735,47.07056566,411.0186393,-1.808357967,67.45014653,5.415881507,0,0,0
 01/06  23:00:00,5.2,14.01273689,46.54424096,410.8532248,-1.83818144,68.97412898,5.415881507,0,0,0
 01/06  24:00:00,4.4625,12.461145,50.49135733,410.8351849,-1.963334493,74.97840124,0,0,0,0
 01/07  01:00:00,3.8875,11.95632532,51.05459252,410.8317558,-1.102307616,30.62072036,0,0,0,0
 01/07  02:00:00,3.3875,11.77749318,50.88350578,410.8306269,-1.129196193,31.86372516,0,0,0,0
 01/07  03:00:00,2.825,11.59206463,50.748503,410.8302235,-1.154919849,33.07547119,0,0,0,0
 01/07  04:00:00,2.1625,11.38330174,50.42688622,410.8300796,-1.183742728,34.45794738,0,0,0,0
 01/07  05:00:00,1.4,11.146472,49.97901921,410.8300283,-1.216888476,36.07822324,0,0,0,0
 01/07  06:00:00,0.6625,10.90820071,49.56287453,410.83001,-1.251892722,37.82202163,0,0,0,0
 01/07  07:00:00,0.0875,10.70682478,48.84229537,410.8300035,-1.283733878,39.435478,0,0,0,0
 01/07  08:00:00,-0.225,11.68146799,44.35699782,410.8300008,-1.225127904,36.51624097,5.415881507,0,0,0
 01/07  09:00:00,0.2,11.96620137,43.4962181,410.8300001,-1.171926494,33.88771251,5.415881507,0,0,0
 01/07  10:00:00,1.3125,13.83626482,41.70218451,578.0460737,-1.016488324,26.97593722,5.415881507,0,0,0
 01/07  11:00:00,2.675,14.39654768,42.84536126,621.1531505,-0.883692734,21.48780625,5.415881507,0,0,0
 01/07  12:00:00,4.1375,14.86560785,42.49957485,616.223904,-0.834135771,19.68369265,5.415881507,0,0,0
 01/07  13:00:00,5.7,14.90487063,41.97016216,571.8695615,-0.815436194,19.02454146,5.415881507,0,0,0
 01/07  14:00:00,7.3625,15.46682632,40.47854001,571.8512222,-0.765968243,17.3707605,5.415881507,0,0,0
 01/07  15:00:00,9.1875,16.01119221,40.11116187,580.8036557,-0.698640065,15.27257678,5.415881507,0,0,0
 01/07  16:00:00,10.7125,16.76877962,41.02263262,628.4479735,-0.612397283,12.88537045,5.415881507,0,0,0
 01/07  17:00:00,11.0125,16.67408105,42.99744692,615.1831398,-0.586140606,12.20245733,5.415881507,0,0,0
 01/07  18:00:00,10.4,16.05589208,44.31139645,538.9650296,-0.631069101,13.37266517,5.415881507,0,0,0
 01/07  19:00:00,9.4125,15.36407532,45.56513884,466.130809,-0.708927497,15.58756055,5.415881507,0,0,0
 01/07  20:00:00,8.25,14.82612001,46.63385591,423.1510913,-1.73886292,63.81846022,5.415881507,0,0,0
 01/07  21:00:00,7.05,14.48022106,47.30677181,412.3462122,-1.781467821,66.05764257,5.415881507,0,0,0
 01/07  22:00:00,5.975,14.19797622,47.47861046,411.0162262,-1.815411079,67.81258128,5.415881507,0,0,0
 01/07  23:00:00,5.1625,13.98445115,47.52349939,410.8528369,-1.843304193,69.23366288,5.415881507,0,0,0
 01/07  24:00:00,4.4625,12.43000187,52.07627308,410.8350882,-1.96656777,75.12725318,0,0,0,0
 01/08  01:00:00,3.8875,11.91615731,53.0958341,410.8317234,-1.105702905,30.77635916,0,0,0,0
 01/08  02:00:00,3.3875,11.73087605,53.21915489,410.8306154,-1.132787096,32.03162191,0,0,0,0
 01/08  03:00:00,2.825,11.54197591,53.13729923,410.8302195,-1.159120672,33.27536874,0,0,0,0
 01/08  04:00:00,2.225,11.34389162,52.71037044,410.8300782,-1.187808023,34.6548143,0,0,0,0
 01/08  05:00:00,1.625,11.14533744,52.05361065,410.8300278,-1.217735095,36.11960352,0,0,0,0
 01/08  06:00:00,1.025,10.94629152,51.48747509,410.8300099,-1.247533466,37.60284555,0,0,0,0
 01/08  07:00:00,0.55,10.76891485,50.69801497,410.8300035,-1.276932918,39.08863742,0,0,0,0
 01/08  08:00:00,0.3375,11.80161777,46.02976186,410.8300008,-1.213085021,35.92578954,5.415881507,0,0,0
 01/08  09:00:00,0.6125,12.06815115,44.65896452,410.8300001,-1.158459967,33.24316166,5.415881507,0,0,0
 01/08  10:00:00,1.6125,13.91375509,41.97771131,578.0971534,-1.011488076,26.76215857,5.415881507,0,0,0
 01/08  11:00:00,3.2875,14.56166118,42.66054367,621.3012668,-0.873041496,21.09181014,5.415881507,0,0,0
 01/08  12:00:00,5.4375,15.14294796,42.79173387,616.5141642,-0.810107575,18.84974415,5.415881507,0,0,0
 01/08  13:00:00,7.8,15.4199505,43.46669785,572.2206155,-0.754274631,16.9852419,5.415881507,0,0,0
 01/08  14:00:00,10.2625,16.20457476,43.57716711,572.2235489,-0.671834173,14.50314142,5.415881507,0,0,0
 01/08  15:00:00,12.575,17.0357194,44.73282517,581.1708358,-0.577940211,12.02182337,5.415881507,0,0,0
 01/08  16:00:00,14.2125,18.13590352,46.31050371,628.6520853,-0.435198327,8.987608461,5.415881507,0,0,0
 01/08  17:00:00,14.3875,18.10115212,49.43108654,615.2309668,-0.386950159,8.120838986,5.415881507,0,0,0
 01/08  18:00:00,13.325,17.27029609,52.07134932,538.9691382,-0.4491311,9.233252196,5.415881507,0,0,0
 01/08  19:00:00,11.6125,16.16010477,54.30675314,466.1389165,-0.560295568,11.60883028,5.415881507,0,0,0
 01/08  20:00:00,9.7125,15.29769623,55.26241961,423.1602951,-1.633229182,58.14891703,5.415881507,0,0,0
 01/08  21:00:00,7.9375,14.79494876,54.95562802,412.347675,-1.699506185,61.72345381,5.415881507,0,0,0
 01/08  22:00:00,6.6125,14.43409545,54.22121013,411.016386,-1.749269079,64.369729,5.415881507,0,0,0
